Country,Site,Latitude (N),No.,Shoot biomass,L-Area (cm),L-SLA,Height (cm),Inflorescence length (cm),Seed setting (%),,,,,,,,
China,YQ,28.34,1,29.31,45,0.013333333,226,,16.9543174,,,,,,,,
China,YQ,28.34,2,21.16,38.25,0.009934641,233,33.16666667,9.712415081,,,,,,,,
China,YQ,28.34,3,15.09,22.1,0.013574661,211.6666667,26.16666667,7.851276282,,,,,,,,
China,YQ,28.34,4,16.08,22.2,0.012162162,206.6666667,31.66666667,9.287132108,,,,,,,,
China,YQ,28.34,5,19.45,20,0.0115,249.3333333,27.16666667,36.07105531,,,,,,,,
China,YQ,28.34,6,27.03,32.2,0.00931677,236,26,2.103083796,,,,,,,,
China,YQ,28.34,7,19.11,24,0.012083333,226,,,,,,,,,,
China,YQ,28.34,8,40.52,36,0.011111111,239.3333333,,,,,,,,,,
China,YQ,28.34,9,30.83,24,0.012083333,225,,,,,,,,,,
China,YQ,28.34,10,28.2,22.5,0.014666667,249.6666667,,,,,,,,,,
China,CM,31.52,1,35.79,72,0.01125,286,30.83333333,50.42235515,,,,,,,,
China,CM,31.52,2,34.77,62.7,0.01307815,263.6666667,28.5,29.38872745,,,,,,,,
China,CM,31.52,3,22.44,52.7,0.012144213,219.6666667,24.33333333,43.97703674,,,,,,,,
China,CM,31.52,4,29.27,52.7,0.009867173,226,25.25,69.37703917,,,,,,,,
China,CM,31.52,5,30.67,59.5,0.012605042,226,27.83333333,60.65866134,,,,,,,,
China,CM,31.52,6,24.17,61.2,0.016339869,246,28.33333333,76.76288884,,,,,,,,
China,CM,31.52,7,16.21,45.75,0.012021858,198.6666667,25.5,58.54690722,,,,,,,,
China,CM,31.52,8,16.75,39.9,0.011528822,184,27.66666667,44.37884101,,,,,,,,
China,CM,31.52,9,12.88,42,0.013333333,215.6666667,26.5,57.68805625,,,,,,,,
China,CM,31.52,10,19.43,40.8,0.012009804,222,27.16666667,78.99476107,,,,,,,,
China,YC,33.6,1,10.5,30.75,0.013658537,131.6666667,17.33333333,87.93801349,,,,,,,,
China,YC,33.6,2,9.9,,,153.3333333,20.83333333,74.2939047,,,,,,,,
China,YC,33.6,3,17.48,30,0.019666667,182,25.66666667,76.10078723,,,,,,,,
China,YC,33.6,4,16.81,36.8,0.019836957,176,25.41666667,68.49894014,,,,,,,,
China,YC,33.6,5,10.49,23.4,0.017948718,154.3333333,22.16666667,78.66827687,,,,,,,,
China,YC,33.6,6,15.5,36.4,0.012087912,193.3333333,25,78.86254109,,,,,,,,
China,YC,33.6,7,32.87,40,0.01475,181.3333333,22.95833333,58.40906421,,,,,,,,
China,YC,33.6,8,15.88,39,0.017179487,193.3333333,25.16666667,56.57438307,,,,,,,,
China,YC,33.6,9,19.25,31.85,0.015698587,176.6666667,21.58333333,72.46513917,,,,,,,,
China,YC,33.6,10,14.42,37.1,0.011320755,187.3333333,21.16825,75.43356129,,,,,,,,
China,GY,34.77,1,30.72,31.5,0.013333333,209.3333333,26.83333333,85.23419901,,,,,,,,
China,GY,34.77,2,28.31,42.35,0.014403778,223.3333333,28.66666667,71.25444586,,,,,,,,
China,GY,34.77,3,17.87,40.875,0.011743119,197.3333333,35.66666667,75.16966927,,,,,,,,
China,GY,34.77,4,20.48,28.925,0.012445981,218.3333333,35.66666667,64.74212231,,,,,,,,
China,GY,34.77,5,20.77,24.96,0.013621795,180,32.5,70.88356714,,,,,,,,
China,GY,34.77,6,32.15,32.25,0.013333333,212,36.16666667,72.25416128,,,,,,,,
China,GY,34.77,7,22.89,33.8,0.012426036,197.3333333,23.5,85.82676256,,,,,,,,
China,GY,34.77,8,22.43,33.8,0.014497041,188.3333333,29.41666667,60.13053772,,,,,,,,
China,GY,34.77,9,25.89,35.1,0.014814815,211.6666667,24.33333333,91.2639051,,,,,,,,
China,GY,34.77,10,22.89,27.3,,176.6666667,,,,,,,,,,
China,DY,38,1,11.79,18.15,0.016528926,166.6666667,19.91666667,49.18325477,,,,,,,,
China,DY,38,2,8.62,8.55,0.021052632,168.3333333,24.16666667,49.38148928,,,,,,,,
China,DY,38,3,7.51,16.25,0.012923077,154.3333333,22.91666667,55.43252228,,,,,,,,
China,DY,38,4,6.99,20.5,0.015609756,138.3333333,23.83333333,56.03140504,,,,,,,,
China,DY,38,5,5.75,10.85,0.015668203,127.6666667,25.16666667,45.4534081,,,,,,,,
China,DY,38,6,6.2,12,0.014166667,155,22.83333333,84.46379158,,,,,,,,
China,DY,38,7,10.07,16.4,0.011585366,166.6666667,20.33333333,80.58017122,,,,,,,,
China,DY,38,8,6.01,23.1,0.012987013,164,20.83333333,85.33203173,,,,,,,,
China,DY,38,9,9.72,29.15,0.014408233,176,25.83333333,65.18451435,,,,,,,,
China,DY,38,10,11.8,25,0.014,172.3333333,23.25,78.30305465,,,,,,,,
China,TG,39.05,1,25.77,42.7,0.013348946,228.6666667,26.83333333,72.66682836,,,,,,,,
China,TG,39.05,2,28.88,38.35,0.010691004,216.6666667,31.33333333,81.27622012,,,,,,,,
China,TG,39.05,3,21.89,31.8,0.012264151,201,26.08333333,79.76506886,,,,,,,,
China,TG,39.05,4,26.6,39.75,0.013081761,218.6666667,28.25,87.59325218,,,,,,,,
China,TG,39.05,5,25.44,32.25,0.014883721,189.6666667,28.33333333,80.43775654,,,,,,,,
China,TG,39.05,6,15.19,27.3,0.01025641,159,33.91666667,69.72081691,,,,,,,,
China,TG,39.05,7,18.22,31.2,0.013782051,170,31,75.91398246,,,,,,,,
China,TG,39.05,8,18.93,22.4,0.013392857,175,28.04166667,80.14123958,,,,,,,,
China,TG,39.05,9,10.31,16,0.014375,141.6666667,26,87.72220792,,,,,,,,
China,TG,39.05,10,13.63,31.8,0.014779874,178,30.66666667,89.57031892,,,,,,,,
